"Date","Open","High","Low","Close","Volume"
"2016-09-30",64.5199966430664,64.94000244140625,62.45000076293945,63.06999969482422,29328262
"2016-09-23",63.619998931884766,65.33000183105469,62.7599983215332,64.9800033569336,30887580
"2016-09-16",62.97999954223633,64.23100280761719,62.65999984741211,63.27000045776367,39160184
"2016-09-09",64.69999694824219,65.13999938964844,63.060001373291016,63.36000061035156,29087993
"2016-09-02",64.83999633789062,65.08999633789062,63.5,64.12000274658203,26608474
"2016-08-26",67.30999755859375,67.79000091552734,64.20999908447266,64.61000061035156,40084270
"2016-08-19",67.47000122070312,68.1239013671875,66.3499984741211,67.0999984741211,35223630
"2016-08-12",66.37999725341797,67.38999938964844,65.75,67.19000244140625,24994684
"2016-08-05",66.2300033569336,67.08000183105469,66.0510025024414,66.54000091552734,32664707
"2016-07-29",63.90999984741211,66.4000015258789,63.709999084472656,66.2300033569336,35427968
"2016-07-22",63.22999954223633,64.08999633789062,63.09000015258789,63.810001373291016,31170627
"2016-07-15",64.25,65.80999755859375,62.939998626708984,63.31999969482422,50113847
"2016-07-08",62.5,64.4800033569336,61.77000045776367,64.16000366210938,30499432
"2016-07-01",59.380001068115234,63.220001220703125,58.32899856567383,62.709999084472656,41606923
"2016-06-24",60.63999938964844,61.31999969482422,59.18000030517578,59.86000061035156,35368422
"2016-06-17",60.459999084472656,61.38999938964844,59.15999984741211,60.0099983215332,50559031
"2016-06-10",62.130001068115234,63.59000015258789,59.720001220703125,61.,63112439
"2016-06-03",62.709999084472656,65.37000274658203,62.630001068115234,65.,34682012
"2016-05-27",59.75,63.20000076293945,59.130001068115234,62.709999084472656,33519742
"2016-05-20",61.90999984741211,62.78990173339844,58.5,59.689998626708984,70035669
"2016-05-13",62.36000061035156,63.869998931884766,61.82149887084961,62.,48325003
"2016-05-06",60.790000915527344,62.744998931884766,60.70000076293945,62.5099983215332,47046846
"2016-04-29",61.130001068115234,62.099998474121094,57.529998779296875,61.,44569583
"2016-04-22",59.5,61.9900016784668,59.29999923706055,61.41999816894531,27487712
"2016-04-15",58.59000015258789,60.04999923706055,58.25,59.5099983215332,29007047
"2016-04-08",57.63999938964844,59.900001525878906,57.4900016784668,58.470001220703125,34787808
"2016-04-01",56.349998474121094,57.56999969482422,55.21689987182617,57.41999816894531,21477365
"2016-03-24",56.52000045776367,57.540000915527344,55.66999816894531,56.119998931884766,24689918
"2016-03-18",57.66999816894531,57.72999954223633,54.40999984741211,56.56999969482422,36014373
"2016-03-11",55.70000076293945,57.869998931884766,54.83000183105469,57.72999954223633,33613350
"2016-03-04",55.869998931884766,56.69599914550781,54.2400016784668,56.150001525878906,38279559
"2016-02-26",54.66999816894531,56.790000915527344,53.7400016784668,56.,37019617
"2016-02-19",53.439998626708984,55.529998779296875,52.72999954223633,54.290000915527344,33406209
"2016-02-12",52.58000183105469,54.689998626708984,51.599998474121094,52.58000183105469,44855221
"2016-02-05",54.15999984741211,57.310001373291016,52.5099983215332,53.119998931884766,59661700
"2016-01-29",59.029998779296875,59.810001373291016,53.41999816894531,54.900001525878906,54470431
"2016-01-22",57.529998779296875,59.43000030517578,53.70000076293945,58.83000183105469,48118397
"2016-01-15",55.86000061035156,57.40999984741211,50.709999084472656,57.34000015258789,71428733
"2016-01-08",58.060001373291016,58.31999969482422,55.47999954223633,55.650001525878906,43718549
"2015-12-31",58.27000045776367,60.119998931884766,57.7599983215332,59.2400016784668,21984879
"2015-12-24",56.,58.72999954223633,55.70000076293945,58.459999084472656,21750151
"2015-12-18",53.709999084472656,57.93000030517578,53.2400016784668,55.7400016784668,44347907
"2015-12-11",57.900001525878906,57.9900016784668,53.849998474121094,54.040000915527344,37120511
"2015-12-04",59.959999084472656,60.209999084472656,55.529998779296875,57.18000030517578,48063273
"2015-11-27",61.310001373291016,61.650001525878906,59.61000061035156,60.,18903516
"2015-11-20",59.7400016784668,61.72999954223633,59.560001373291016,61.11000061035156,33902084
"2015-11-13",63.619998931884766,64.12999725341797,58.88999938964844,59.86000061035156,38933402
"2015-11-06",61.599998474121094,64.30000305175781,61.439998626708984,64.12999725341797,53604292
"2015-10-30",50.16999816894531,60.72999954223633,49.349998474121094,59.54999923706055,70240285
"2015-10-23",56.290000915527344,56.70000076293945,45.45000076293945,50.34000015258789,97446625
"2015-10-16",55.79999923706055,56.970001220703125,53.564998626708984,56.529998779296875,39834814
"2015-10-09",56.38999938964844,56.95000076293945,53.90999984741211,55.63999938964844,43332467
"2015-10-02",55.38999938964844,55.849998474121094,51.880001068115234,55.81999969482422,56059633
"2015-09-25",61.2400016784668,61.7400016784668,55.08000183105469,55.7400016784668,52356096
"2015-09-18",59.43000030517578,61.83000183105469,57.540000915527344,61.220001220703125,66853293
"2015-09-11",60.220001220703125,61.52000045776367,58.88999938964844,59.349998474121094,36372081
"2015-09-04",64.13999938964844,64.30999755859375,58.96379852294922,59.77000045776367,61387741
"2015-08-28",61.16999816894531,65.12000274658203,53.869998931884766,63.97999954223633,74757678
"2015-08-21",68.70999908447266,69.81999969482422,65.83000183105469,65.9000015258789,56194649
"2015-08-14",68.91999816894531,69.44000244140625,67.23999786376953,68.6500015258789,37287469
"2015-08-07",70.19000244140625,70.79000091552734,67.7699966430664,68.62000274658203,37760159
"2015-07-31",68.45999908447266,71.51000213623047,68.45999908447266,70.01000213623047,42734805
"2015-07-24",70.,71.5999984741211,67.3499984741211,68.08000183105469,39495382
"2015-07-17",69.41999816894531,70.5199966430664,69.16999816894531,69.98999786376953,41882688
"2015-07-10",67.52999877929688,69.5,67.31999969482422,69.2300033569336,43286038
"2015-07-02",69.2699966430664,70.0199966430664,66.66000366210938,68.20999908447266,37623640
"2015-06-26",69.8499984741211,70.75,69.02999877929688,70.45999908447266,44013801
"2015-06-19",66.66000366210938,69.75,66.0999984741211,69.4800033569336,38665103
"2015-06-12",67.86000061035156,68.66999816894531,66.58999633789062,67.05000305175781,41560931
"2015-06-05",66.80000305175781,67.87000274658203,66.26000213623047,67.4000015258789,63813275
"2015-05-29",65.72000122070312,67.98999786376953,65.66000366210938,66.58999633789062,84155579
"2015-05-22",65.79000091552734,66.19999694824219,64.87000274658203,65.4800033569336,50083568
"2015-05-15",65.19000244140625,66.5199966430664,64.58999633789062,65.98999786376953,35080231
"2015-05-08",64.31999969482422,65.80000305175781,63.400001525878906,65.23999786376953,40785091
"2015-05-01",66.0199966430664,66.66000366210938,63.880001068115234,64.31999969482422,61260210
